Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0402_1005Metric,150.3,-89.89,0.0,top
C2,0.1u,C_0402_1005Metric,141.3,-90.39,-90.0,top
C3,0.1u,C_0402_1005Metric,150.55,-104.14,0.0,top
C4,0.1u,C_0402_1005Metric,141.28,-104.64,-90.0,top
C5,0.1u,C_0402_1005Metric,150.53,-111.14,0.0,top
C6,0.1u,C_0402_1005Metric,141.3,-111.64,-90.0,top
C7,0.1u,C_0402_1005Metric,150.55,-97.14,0.0,top
C8,0.1u,C_0402_1005Metric,141.3,-97.62,-90.0,top
C9,0.1u,C_0402_1005Metric,151.3,-85.66,-90.0,top
C13,47u,C_0805_2012Metric,149.5,-74.0,90.0,top
R1,2.2k,R_0402_1005Metric,143.55,-93.89,0.0,top
R2,2.2k,R_0402_1005Metric,143.3,-88.64,0.0,top
R3,2.2k,R_0402_1005Metric,143.55,-102.64,0.0,top
R4,2.2k,R_0402_1005Metric,143.56,-108.14,0.0,top
R5,2.2k,R_0402_1005Metric,143.56,-109.64,0.0,top
R6,2.2k,R_0402_1005Metric,143.55,-115.14,0.0,top
R7,2.2k,R_0402_1005Metric,143.55,-95.64,0.0,top
R8,2.2k,R_0402_1005Metric,143.55,-101.14,0.0,top
R9,2.2k,R_0402_1005Metric,141.3,-86.14,90.0,top
R10,2.2k,R_0402_1005Metric,141.3,-83.64,-90.0,top
R11,10k,R_0402_1005Metric,151.3,-83.39,-90.0,top
U1,DRV2605LDGS,VSSOP-10_3x3mm_P0.5mm,145.8,-91.14,0.0,top
U2,AP7215-33YG-13,SOT-89-3,154.5,-74.0,0.0,top
U4,DRV2605LDGS,VSSOP-10_3x3mm_P0.5mm,145.8,-105.39,0.0,top
U5,DRV2605LDGS,VSSOP-10_3x3mm_P0.5mm,145.8,-112.39,0.0,top
U6,DRV2605LDGS,VSSOP-10_3x3mm_P0.5mm,145.8,-98.39,0.0,top
U7,TCA9546APWR,SOP65P640X120-16N,146.3,-84.14,180.0,top
